USUARIO;MES;FECHA;TECNICO;INICIO;FINAL;TIEMPO ATENCION;CONTACTO;CLIENTE;LINEA;CANAL;VENDEDOR;MARCA;MODELO;SERIE;TIPO DE ATENCION;MOTIVO;MOTIVO DE LA ATENCIÓN;DESCRIPCIÓN DE LA ACTIVIDAD;TEMA
DAHAINA ESPINOZA;OCTUBRE;21/10/2025;ESPINOZA;11:30;13:00;01:30;;KROTON;86IMOU;;;IMOU;IPC-S20EN-10M0S;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;22/10/2025;ESPINOZA;09:30;11:00;01:30;;KROTON;74DAHUA;;;DAHUA;NVR-N118W-8A0E;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;23/10/2025;ESPINOZA;10:00;11:30;01:30;;KROTON;;;;HUAWEI;;;REMOTO;OTROS;REUNIONES INTERNAS;REUNIONES / CAPACITACIONES INTERNAS;
DAHAINA ESPINOZA;OCTUBRE;23/10/2025;ESPINOZA;11:40;12:10;00:30;;KROTON;74DAHUA;;;DAHUA;IPC-HDW1239T1-A-IL;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;23/10/2025;ESPINOZA;12:20;12:50;00:30;;KROTON;74DAHUA;;;DAHUA;SD6E445MB-HNR-A-PV1;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;23/10/2025;ESPINOZA;14:00;15:30;01:30;;KROTON;74DAHUA;;;DAHUA;DH-P5AS-PV;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;24/10/2025;ESPINOZA;09:30;10:00;00:30;;KROTON;74DAHUA;;;DAHUA;DH-IPC-HFW2849M-S-B-PRO;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;24/10/2025;ESPINOZA;10:00;10:30;00:30;;KROTON;74DAHUA;;;DAHUA;IPC-HFW2849TL-S-PRO;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;24/10/2025;ESPINOZA;10:40;11:10;00:30;;KROTON;74DAHUA;;;DAHUA;IPC-PT2449C1-S-PV-PR;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;24/10/2025;ESPINOZA;11:20;11:50;00:30;;KROTON;74DAHUA;;;DAHUA;XVR1B16H-I/T;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;24/10/2025;ESPINOZA;12:00;12:20;00:20;;KROTON;74DAHUA;;;DAHUA;IPC-HFW5459E1-ZE-IL;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;24/10/2025;ESPINOZA;12:30;12:40;00:10;;KROTON;74DAHUA;;;DAHUA;IPC-HDBW5459E1-ZE-IL;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;24/10/2025;ESPINOZA;12:50;13:10;00:20;;KROTON;74DAHUA;;;DAHUA;XVR5232AN-5M-I3/T;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;24/10/2025;ESPINOZA;14:10;14:40;00:30;;KROTON;74DAHUA;;;DAHUA;XVR5216AN-5M-I3/T;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;24/10/2025;ESPINOZA;14:50;15:20;00:30;;KROTON;74DAHUA;;;DAHUA;XVR5104HS-5M-I3/T;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;24/10/2025;ESPINOZA;15:30;16:00;00:30;;KROTON;74DAHUA;;;DAHUA;XVR5108HS-5M-I3/T;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;24/10/2025;ESPINOZA;16:10;16:40;00:30;;KROTON;74DAHUA;;;DAHUA;XVR5116HS-5M-I3/T;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;24/10/2025;ESPINOZA;16:50;17:20;00:30;;KROTON;74DAHUA;;;DAHUA;MC-GXF4-GXM4-12-04;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;28/10/2025;ESPINOZA;10:00;12:30;02:30;JAIRO SOLANO;;15EQUIPCOM;OPERADORES;;TP-LINK;XX530V;;PRESENCIAL;PREVENTA;PRUEBA DE EQUIPOS NUEVOS;PRUEBA DE EQUIPOS ANTES DE VENDER;
DAHAINA ESPINOZA;OCTUBRE;28/10/2025;ESPINOZA;14:00;15:30;01:30;MIGUEL SILES;KROTON;27AMPLCATV;OPERADORES;;DIXON;D880GW-AX3000;;PRESENCIAL;PREVENTA;PRUEBA DE EQUIPOS NUEVOS;PRUEBA DE EQUIPOS ANTES DE VENDER;
DAHAINA ESPINOZA;OCTUBRE;28/10/2025;ESPINOZA;16:00;17:20;01:20;MIGUEL SILES;KROTON;;OPERADORES;;HUAWEI;;;REMOTO;CAPACITACION;WEBINAR CET;CAPACITACIÓN PARA USUARIOS FINALES;
DAHAINA ESPINOZA;OCTUBRE;29/10/2025;ESPINOZA;09:30;09:50;00:20;PABLO JOAQUIN;KROTON;15EQUIPCOM;;;TP-LINK;FC311A-20;;REMOTO;PREVENTA;PRUEBA DE EQUIPOS NUEVOS;PRUEBA DE EQUIPOS ANTES DE VENDER;
DAHAINA ESPINOZA;OCTUBRE;29/10/2025;ESPINOZA;10:00;10:20;00:20;PABLO JOAQUIN;KROTON;15EQUIPCOM;;;TP-LINK;FC311B-20;;REMOTO;PREVENTA;PRUEBA DE EQUIPOS NUEVOS;PRUEBA DE EQUIPOS ANTES DE VENDER;
DAHAINA ESPINOZA;OCTUBRE;29/10/2025;ESPINOZA;10:40;11:00;00:20;PABLO JOAQUIN;KROTON;15EQUIPCOM;;;TP-LINK;MC220L;;REMOTO;PREVENTA;PRUEBA DE EQUIPOS NUEVOS;PRUEBA DE EQUIPOS ANTES DE VENDER;
DAHAINA ESPINOZA;NOVIEMBRE;03/11/2025;ESPINOZA;09:20;09:40;00:20;;CRISTIAN RAMIREZ;15EQUIPCOM;;;TPLINK;TAPO C310;;REMOTO;CONSULTA TECNICA;CONSULTA TECNICA;ASESORÍA RESPECTO A LAS FUNCIONES Y USOS DE LOS EQUIPOS;
DAHAINA ESPINOZA;NOVIEMBRE;03/11/2025;ESPINOZA;09:50;10:10;00:20;;KROTON;27AMPLCATV;;;DIXON;GFS-8B;;REMOTO;CONSULTA TECNICA;CONSULTA TECNICA;ASESORÍA RESPECTO A LAS FUNCIONES Y USOS DE LOS EQUIPOS;
DAHAINA ESPINOZA;NOVIEMBRE;04/11/2025;ESPINOZA;10:50;11:10;00:20;;BB BUSINES;27AMPLCATV;;;ZTE;F6201B;;REMOTO;PREVENTA;PREVENTA;IDENTIFICACIÓN DE EQUIPOS SOLICITADOS PARA SOLUCIONES O PROYECTOS;
DAHAINA ESPINOZA;NOVIEMBRE;11/11/2025;ESPINOZA;12:20;12:40;00:20;;KROTON;;;;;;;REMOTO;;;;
DAHAINA ESPINOZA;NOVIEMBRE;25/11/2025;ESPINOZA;09:50;10:10;00:20;;CET;;;;;;;REMOTO;CAPACITACION;WEBINAR CET;CAPACITACIÓN PARA USUARIOS FINALES;
DAHAINA ESPINOZA;NOVIEMBRE;26/11/2025;ESPINOZA;14:10;14:30;00:20;;KROTON;;;;;;;REMOTO;;;;
DAHAINA ESPINOZA;NOVIEMBRE;27/11/2025;ESPINOZA;09:50;10:10;00:20;;CET;15EQUIPCOM;OPERADORES;;TPLINK;;;REMOTO;CAPACITACION;WEBINAR CET;CAPACITACIÓN PARA USUARIOS FINALES;
DAHAINA ESPINOZA;NOVIEMBRE;28/11/2025;ESPINOZA;09:50;10:10;00:20;;CET;15EQUIPCOM;;;TPLINK;;;REMOTO;CAPACITACION;WEBINAR CET;CAPACITACIÓN PARA USUARIOS FINALES;
DAHAINA ESPINOZA;DICIEMBRE;03/12/2025;ESPINOZA;11:20;11:40;00:20;;RASH PERU S.R.L;74DAHUA;RETAIL;;DAHUA;KIT-XVR8C8CH-1TB-I;7F06559RA1FD62E;REMOTO;GARANTIA;GARANTIA;REVISIÓN Y DIAGNÓSTICO DE PRODUCTOS POR GARANTÍA;
DAHAINA ESPINOZA;DICIEMBRE;03/12/2025;ESPINOZA;11:50;12:10;00:20;;MEMORY KYNGS;15EQUIPCOM;MINORISTA;;TPLINK;MR6400 APC;;REMOTO;CONSULTA TECNICA;CONSULTA TECNICA;ASESORÍA RESPECTO A LAS FUNCIONES Y USOS DE LOS EQUIPOS;
DAHAINA ESPINOZA;DICIEMBRE;03/12/2025;ESPINOZA;12:20;12:40;00:20;;KROTON;15EQUIPCOM;MINORISTA;;TPLINK;TL-WR850N;;REMOTO;PREVENTA;PREVENTA;IDENTIFICACIÓN DE EQUIPOS SOLICITADOS PARA SOLUCIONES O PROYECTOS;
DAHAINA ESPINOZA;DICIEMBRE;03/12/2025;ESPINOZA;12:20;12:40;00:20;;TECNOLOGÍAS AVANZADAS EN ELECTRONICA ELECTRICIDAD Y MECÁNICA S.A.C;74DAHUA;MINORISTA;;DAHUA;HAC-HDW1200TRQ-A;BD00296PDD64C56;REMOTO;CONSULTA TECNICA;CONSULTA TECNICA;ASESORÍA RESPECTO A LAS FUNCIONES Y USOS DE LOS EQUIPOS;
DAHAINA ESPINOZA;DICIEMBRE;03/12/2025;ESPINOZA;12:50;13:10;00:20;;KROTON;15EQUIPCOM;MINORISTA;;TPLINK;XC220-G3V;;REMOTO;PREVENTA;PREVENTA;IDENTIFICACIÓN DE EQUIPOS SOLICITADOS PARA SOLUCIONES O PROYECTOS;
DAHAINA ESPINOZA;DICIEMBRE;03/12/2025;ESPINOZA;12:50;13:10;00:20;;F & V SECURITY PERU S.A.C.;74DAHUA;MINORISTA;;DAHUA;XVR5216AN-4KL-X;5L0518DPAZA5BD5;REMOTO;CONSULTA TECNICA;CONSULTA TECNICA;ASESORÍA RESPECTO A LAS FUNCIONES Y USOS DE LOS EQUIPOS;
DAHAINA ESPINOZA;DICIEMBRE;03/12/2025;ESPINOZA;14:10;14:30;00:20;;INFINITY SAC;27AMPLCATV;MINORISTA;;DIXON;DG174GW;DF3C-2312000108;REMOTO;CONFIGURACION;CONFIGURACIÓN CLIENTE FINAL;CONFIGURACIÓN A CLIENTES FINALES;
DAHAINA ESPINOZA;DICIEMBRE;03/12/2025;ESPINOZA;15:00;15:20;00:20;;KROTON;15EQUIPCOM;MINORISTA;;TPLINK;TAPO C310;;REMOTO;PREVENTA;PREVENTA;IDENTIFICACIÓN DE EQUIPOS SOLICITADOS PARA SOLUCIONES O PROYECTOS;
DAHAINA ESPINOZA;DICIEMBRE;05/12/2025;ESPINOZA;10:20;10:50;00:30;HELEN MENDOZA;KROTON;74DAHUA;;;TPLINK;;;REMOTO;;;;
DAHAINA ESPINOZA;DICIEMBRE;05/12/2025;ESPINOZA;11:00;11:40;00:40;HELEN MENDOZA;KROTON;74DAHUA;;;DAHUA;DH-SD6E445MB-HNR-A-PV1;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;DICIEMBRE;05/12/2025;ESPINOZA;11:50;12:20;00:30;HELEN MENDOZA;KROTON;74DAHUA;;;DAHUA;DH-IPC-HDBW5459E1-ZE-IL;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;DICIEMBRE;05/12/2025;ESPINOZA;12:30;13:00;00:30;HELEN MENDOZA;KROTON;74DAHUA;;;DAHUA;DH-IPC-HDW3849H-ZAS-PV-PRO;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;DICIEMBRE;05/12/2025;ESPINOZA;14:00;14:30;00:30;HELEN MENDOZA;KROTON;74DAHUA;;;DAHUA;DH-IPC-HDW3449H-ZAS-PV-PRO;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;DICIEMBRE;05/12/2025;ESPINOZA;15:00;15:30;00:30;HELEN MENDOZA;KROTON;74DAHUA;;;DAHUA;DH-IPC-HFW3849T1-ZAS-PV-PRO;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;DICIEMBRE;05/12/2025;ESPINOZA;15:40;16:10;00:30;HELEN MENDOZA;KROTON;74DAHUA;;;DAHUA;DH-IPC-HFW3449T1-ZAS-PV-PRO;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;DICIEMBRE;05/12/2025;ESPINOZA;16:20;16:50;00:30;HELEN MENDOZA;KROTON;74DAHUA;;;DAHUA;DH-IPC-HFW5459E1-ZE-I;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;DICIEMBRE;05/12/2025;ESPINOZA;;;00:00;HELEN MENDOZA;KROTON;74DAHUA;;;DAHUA;DH-XVR5104HS-5M-I3/T;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;DICIEMBRE;05/12/2025;ESPINOZA;;;00:00;HELEN MENDOZA;KROTON;74DAHUA;;;DAHUA;DH-XVR5108HS-5M-I3/T;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;DICIEMBRE;05/12/2025;ESPINOZA;;;00:00;HELEN MENDOZA;KROTON;74DAHUA;;;DAHUA;DH-XVR5216AN-5M-I3/T;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;DICIEMBRE;05/12/2025;ESPINOZA;;;00:00;HELEN MENDOZA;KROTON;74DAHUA;;;DAHUA;DH-XVR5232AN-5M-I3/T;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;DICIEMBRE;05/12/2025;ESPINOZA;;;00:00;HELEN MENDOZA;KROTON;74DAHUA;;;DAHUA;DH-XVR5116HS-5M-I3/T;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
